Long,Lat,N. of parkings,Day of the month,Day of the week,Hour
7.727,45.0255,1,6,1,3
7.727,45.088499999999996,7,6,1,3
7.641500000000001,45.0255,12,6,1,4
7.641500000000001,45.088499999999996,18,6,1,4
7.727,45.0255,2,6,1,4
7.727,45.088499999999996,5,6,1,4
7.641500000000001,45.0255,62,6,1,5
7.641500000000001,45.088499999999996,71,6,1,5
7.727,45.0255,17,6,1,5
7.727,45.088499999999996,44,6,1,5
7.641500000000001,45.0255,124,6,1,6
7.641500000000001,45.088499999999996,150,6,1,6
7.727,45.0255,16,6,1,6
7.727,45.088499999999996,92,6,1,6
7.641500000000001,45.0255,86,6,1,7
7.641500000000001,45.088499999999996,115,6,1,7
7.727,45.0255,17,6,1,7
7.727,45.088499999999996,66,6,1,7
7.641500000000001,45.0255,95,6,1,8
7.641500000000001,45.088499999999996,127,6,1,8
7.727,45.0255,16,6,1,8
7.727,45.088499999999996,57,6,1,8
7.641500000000001,45.0255,109,6,1,9
7.641500000000001,45.088499999999996,121,6,1,9
7.727,45.0255,11,6,1,9
7.727,45.088499999999996,80,6,1,9
7.641500000000001,45.0255,110,6,1,10
7.641500000000001,45.088499999999996,124,6,1,10
7.727,45.0255,9,6,1,10
7.727,45.088499999999996,63,6,1,10
7.641500000000001,45.0255,75,6,1,11
7.641500000000001,45.088499999999996,115,6,1,11
7.727,45.0255,20,6,1,11
7.727,45.088499999999996,56,6,1,11
7.641500000000001,45.0255,91,6,1,12
7.641500000000001,45.088499999999996,98,6,1,12
7.727,45.0255,10,6,1,12
7.727,45.088499999999996,61,6,1,12
7.641500000000001,45.0255,82,6,1,13
7.641500000000001,45.088499999999996,108,6,1,13
7.727,45.0255,12,6,1,13
7.727,45.088499999999996,65,6,1,13
7.641500000000001,45.0255,114,6,1,14
7.641500000000001,45.088499999999996,154,6,1,14
7.727,45.0255,18,6,1,14
7.727,45.088499999999996,86,6,1,14
7.641500000000001,45.0255,155,6,1,15
7.641500000000001,45.088499999999996,165,6,1,15
7.727,45.0255,25,6,1,15
7.727,45.088499999999996,103,6,1,15
7.641500000000001,45.0255,137,6,1,16
7.641500000000001,45.088499999999996,203,6,1,16
7.727,45.0255,17,6,1,16
7.727,45.088499999999996,89,6,1,16
7.641500000000001,45.0255,116,6,1,17
7.641500000000001,45.088499999999996,150,6,1,17
7.727,45.0255,9,6,1,17
7.727,45.088499999999996,89,6,1,17
7.641500000000001,45.0255,68,6,1,18
7.641500000000001,45.088499999999996,82,6,1,18
7.727,45.0255,6,6,1,18
7.727,45.088499999999996,25,6,1,18
7.641500000000001,45.0255,31,6,1,19
7.641500000000001,45.088499999999996,38,6,1,19
7.727,45.0255,4,6,1,19
7.727,45.088499999999996,17,6,1,19
7.641500000000001,45.0255,30,6,1,20
