lng,lat,pippo
7.691398,45.087009,2408
7.693925,45.086365,3157
7.693315,45.087143,2594
7.692754,45.085266,219
7.694018,45.08699,2617
7.694476,45.085911,3977
7.69146,45.085438,4076
7.694423,45.085972,1562
7.692489,45.085644,2305
7.693815,45.085651,9835
7.693745,45.085491,1899
7.694175,45.087029,1258
7.691888,45.086079,9881
7.693679,45.085979,2827
7.694025,45.087189,4076
7.691329,45.086884,3735
7.692366,45.09737,82
7.692269,45.096138,55
7.692348,45.095665,1429
7.692634,45.095631,880
7.69343,45.096836,31
7.694093,45.095577,5736
7.694434,45.096916,492
7.694144,45.096188,343
7.69393,45.097462,921
7.69409,45.096203,174
7.69295,45.095776,2035
7.692492,45.095463,979
7.695171,45.068954,460
7.69724,45.069103,2590
7.697558,45.068787,5295
7.697771,45.068241,996
7.696475,45.068485,4659
7.696461,45.068504,5640
7.697141,45.068306,999
7.695416,45.069092,3743
7.695963,45.069805,3626
7.695783,45.069839,2474
7.697688,45.068752,970
7.695356,45.071957,428
7.695586,45.071659,94
7.697516,45.071941,353
7.697782,45.072136,486
7.695342,45.071808,30
7.697232,45.070103,1594
7.696288,45.070286,1317
7.696195,45.0718,127
7.69635,45.071793,645
7.696739,45.070053,5489
7.696094,45.072372,469
7.695369,45.070683,2440
7.697217,45.093594,917
7.696929,45.094593,3431
7.696629,45.092716,1231
7.695812,45.092739,1323
7.696055,45.092789,12922
7.697475,45.09322,11020
7.696625,45.094967,289
7.695141,45.093296,9016
7.695835,45.094807,2061
7.695539,45.092747,13250
7.695757,45.092842,918
7.697933,45.094006,5019
7.696236,45.093498,256
7.696332,45.096989,96
7.696078,45.096577,463
7.695122,45.096745,14463
7.695543,45.097363,3282
7.69601,45.097187,20071
7.695351,45.096138,5347
7.696529,45.096657,32
7.697037,45.096725,305
7.695691,45.096573,2966
7.697954,45.096886,194
7.695344,45.096748,183
7.69499,45.095219,5272
7.698142,45.061287,3140
7.701006,45.061687,985
7.700489,45.061401,2099
7.699398,45.06179,385
7.699314,45.060448,370
7.701279,45.060516,214
7.701192,45.061653,510
7.698148,45.061329,31199
7.698143,45.061375,1830
7.698147,45.061386,1016
7.700644,45.061764,3143
7.698095,45.061657,418
7.698264,45.061062,619
7.701357,45.06152,401
7.701232,45.09626,597
7.698705,45.096821,82
7.69965,45.09697,53
7.7008,45.09676,488
7.698472,45.095257,291
7.700359,45.096733,533
7.700357,45.09568,37
7.699562,45.096848,516
7.699283,45.09742,65
7.701137,45.096405,45
7.700073,45.095203,54
7.699597,45.095222,1326
7.698485,45.098942,1683
7.701025,45.098068,1765
7.698195,45.099449,6301
7.698913,45.099693,2841
7.700173,45.10009,2399
7.698968,45.099052,1046
7.700059,45.099247,61
7.699077,45.099174,1016
7.699924,45.097755,866
7.700447,45.099285,2713
7.70004,45.098034,624
7.701375,45.098061,772
7.700246,45.097965,2345
7.700706,45.098793,32383
7.69956,45.110195,2354
7.700123,45.110096,296
7.700802,45.107822,2605
7.698619,45.108955,1076
7.700876,45.108192,2748
7.698121,45.108116,8388
7.699085,45.110039,814
7.698389,45.10976,882
7.698845,45.108276,3672
7.700284,45.107899,25
7.698098,45.10812,7067
7.700716,45.108696,2256
7.704045,45.068466,2745
7.701735,45.06913,3650
7.70436,45.068996,305
7.704651,45.068481,3838
7.704573,45.068752,5344
7.701962,45.068794,947
7.701924,45.067749,1781
7.703046,45.06971,10137
7.702289,45.067356,2221
7.702633,45.067715,13121
7.703713,45.068008,2199
7.701645,45.068806,5176
7.702448,45.069561,8276
7.703438,45.067818,242
7.702851,45.067734,5204
7.703542,45.094879,19783
7.703887,45.093479,1182
7.70406,45.093636,732
7.70158,45.093708,1526
7.702534,45.09462,10732
7.701817,45.092804,1279
7.702495,45.094818,1326
7.701637,45.093464,2740
7.70277,45.093109,2688
7.702248,45.093346,4433
7.703785,45.094604,251
7.706911,45.090458,292
7.706468,45.090382,3277
7.706703,45.092503,307
7.707615,45.091583,68
7.708215,45.092045,2839
7.706047,45.090618,5618
7.707324,45.090801,6868
7.706457,45.091934,2377
7.705166,45.090469,111
7.706042,45.090294,918
7.708206,45.090256,1405
7.706246,45.0919,1180
7.707561,45.090088,83
7.705445,45.094269,1753
7.707185,45.095001,203
7.706226,45.093147,222
7.70506,45.092884,3270
7.706067,45.094517,2556
7.705655,45.093426,3265
7.706316,45.093586,1593
7.706747,45.094585,1300
7.706033,45.094273,18425
7.70612,45.093632,926
7.706224,45.095005,1841
7.705588,45.093014,571
7.72186,45.073933,5789
7.719535,45.07415,2505
7.720302,45.074188,890
7.719261,45.074406,4112
7.720222,45.073475,1714
7.719222,45.074631,2331
7.718846,45.073139,271
7.720346,45.074272,312
7.719012,45.07354,2800
7.720605,45.07341,2706
7.719355,45.073147,1186
7.722417,45.07254,3695
7.722288,45.07333,2689
7.724063,45.074211,281
7.723003,45.073235,5719
7.724031,45.0741,3939
7.724199,45.072552,11478
7.723558,45.072426,6716
7.725135,45.074612,3367
7.725317,45.074085,9951
7.725083,45.074856,7125
7.72326,45.072796,2700
7.725227,45.076736,1131
7.723097,45.075787,2769
7.725157,45.075043,751
7.725209,45.075066,14251
7.724031,45.076965,2411
7.723793,45.076553,444
7.723356,45.075012,1323
7.724694,45.077145,6955
7.724045,45.075367,1596
7.722235,45.074959,2038
7.722312,45.075443,39
