lat,lng
45.071667,7.707327
45.092987,7.690182
45.09304,7.690028
45.108509,7.760363
45.022934,7.662939
45.096985,7.696381
45.122028,7.703345
45.121986,7.703334
45.096363,7.701304
45.092144,7.670739
45.019886,7.615736
45.019676,7.616078
45.000408,7.646114
45.017231,7.648071
45.017239,7.648064
45.058987,7.648477
45.062809,7.62771
45.090984,7.693465
45.07972,7.68824
45.079712,7.688019
45.096821,7.670762
45.102261,7.663179
45.102291,7.66315
45.099815,7.663307
45.099884,7.663005
45.101517,7.667647
45.101532,7.667698
45.088718,7.668249
45.090973,7.69048
45.088589,7.691065
45.088577,7.691051
45.084667,7.679543
45.084621,7.679422
45.100544,7.699442
45.094086,7.703344
45.094013,7.703384
45.080627,7.661171
45.068771,7.697869
45.068741,7.697773
45.080265,7.660634
45.020058,7.656961
45.012638,7.657231
45.062653,7.68877
45.044621,7.627046
45.025745,7.655734
45.039589,7.639192
45.096756,7.698555
45.116852,7.711812
45.116898,7.711839
45.084652,7.666345
45.084652,7.666159
45.110085,7.658588
45.110222,7.658518
45.100822,7.647804
45.100826,7.647863
45.002716,7.673965
45.105045,7.696133
45.1245,7.635351
45.123928,7.64838
45.003258,7.694848
45.006126,7.652274
45.064686,7.640107
45.107506,7.755073
45.108051,7.756124
45.060875,7.637607
45.062328,7.704379
45.039959,7.672942
45.097618,7.654431
45.104446,7.662885
45.104504,7.662878
45.095039,7.65163
45.095062,7.65162
45.095112,7.64909
45.096416,7.64934
45.106071,7.629615
45.077011,7.694613
45.080791,7.692537
45.097858,7.7087
