lng,lat,pippo
7.645304,45.07494,2854
7.646162,45.075863,2143
7.64396,45.075043,928
7.644633,45.07502,1368
7.646046,45.075478,150
7.644795,45.078098,902
7.645855,45.077694,2319
7.64502,45.078259,5559
7.644979,45.078312,773
7.644848,45.079632,919
7.644752,45.078667,2523
7.644324,45.078434,8379
7.644128,45.078548,651
7.645807,45.078701,207
7.644588,45.078827,825
7.644821,45.078678,735
7.64376,45.078331,16581
7.645618,45.077801,1957
7.645668,45.079697,3998
7.649736,45.022095,958
7.6493,45.02227,1135
7.647855,45.023563,17632
7.647171,45.023537,662
7.647372,45.022465,984
7.646924,45.022129,984
7.649645,45.022785,960
7.64773,45.023064,856
7.647338,45.02327,1210
7.647108,45.023628,607
7.650275,45.02216,6706
7.648583,45.022564,704
7.648542,45.022141,1395
7.647519,45.022202,1286
7.649232,45.023102,87
7.649264,45.03376,790
7.647214,45.034531,1138
7.647624,45.034279,14858
7.648882,45.033092,7306
7.648872,45.033272,774
7.647473,45.032921,737
7.6494,45.033497,1040
7.647015,45.034374,861
7.649328,45.03405,1110
7.648456,45.033997,1000
7.647144,45.032772,996
7.648199,45.034222,272
7.646962,45.034424,1335
7.648488,45.034412,244
7.647089,45.033001,354
7.647011,45.032894,41
7.647484,45.032158,71
7.650143,45.032307,2819
7.647747,45.034145,1154
7.64896,45.033215,1401
7.647481,45.035053,1058
7.647688,45.036072,2423
7.648965,45.035259,1007
7.647945,45.034863,15805
7.64731,45.034683,2953
7.649474,45.035255,20066
7.648718,45.036018,738
7.648812,45.035,763
7.649714,45.035423,24443
7.648963,45.035046,15648
7.64893,45.035614,776
7.647146,45.034821,1212
7.649393,45.034817,4340
7.649102,45.044022,192
7.648005,45.042133,898
7.648583,45.042885,82
7.648768,45.043835,129
7.649217,45.044449,5444
7.648817,45.043201,1336
7.649992,45.044144,202
7.649136,45.043362,154
7.647334,45.042778,338
7.647276,45.044529,547
7.650061,45.044193,773
7.648139,45.044205,210
7.648071,45.044224,288
7.648418,45.044327,2149
7.648151,45.042618,791
7.64775,45.059299,962
7.649706,45.057571,12903
7.649487,45.058613,1036
7.648087,45.057831,4424
7.65018,45.059135,783
7.64748,45.059555,5867
7.647295,45.058739,6943
7.650043,45.057861,806
7.649103,45.057652,2570
7.64864,45.05909,770
7.649596,45.058632,738
7.647254,45.057674,763
7.649467,45.058193,247
7.648358,45.06406,9913
7.647592,45.064205,801
7.649538,45.06234,106
7.647201,45.063293,817
7.647045,45.064682,92
7.648866,45.062843,1640
7.649955,45.064007,22972
7.647367,45.062878,844
7.650128,45.064648,2174
7.648551,45.062588,29955
7.647899,45.064442,828
7.648403,45.074738,813
7.647716,45.073849,1240
7.647016,45.072823,2729
7.646925,45.074314,900
7.648635,45.072708,11493
7.649833,45.07325,39401
7.647038,45.074795,2192
7.64874,45.074306,4117
7.648293,45.07486,7942
7.64865,45.072601,1646
7.648745,45.074207,8046
7.64895,45.073505,17013
7.649246,45.073544,3926
7.649806,45.072861,1947
7.648695,45.072662,1167
7.648342,45.073139,835
7.650077,45.075203,2712
7.649507,45.075611,4060
7.649259,45.077221,3699
7.647487,45.077389,844
7.648505,45.075275,950
7.64953,45.075245,907
7.647377,45.077297,7792
7.649137,45.076893,205
7.647286,45.075745,2453
7.648075,45.076286,5188
7.647346,45.076714,8554
7.650152,45.076721,758
7.6501,45.076027,8062
7.649427,45.075325,3036
7.650253,45.076942,807
7.649869,45.078339,864
7.64744,45.078484,899
7.648436,45.078766,16920
7.64856,45.07748,237
7.647127,45.078445,2379
7.647402,45.07761,151
7.649896,45.079041,142
7.648955,45.079632,6308
7.649775,45.078884,1017
7.649252,45.077461,157
7.648427,45.07888,706
7.649434,45.077923,31
7.646982,45.080555,1282
7.647094,45.080566,7893
7.64792,45.080265,714
7.648871,45.081238,1081
7.64712,45.080544,152
7.647878,45.080784,1431
7.648454,45.080299,12383
7.648508,45.080856,7450
7.650245,45.080238,693
7.647184,45.08099,2908
7.64896,45.08128,864
7.646961,45.081501,2348
7.652791,45.023338,1638
7.651342,45.021969,75
7.651378,45.02354,6162
7.65043,45.022846,1452
7.650528,45.02301,6326
7.653461,45.023502,2725
7.652284,45.023746,2339
7.65064,45.022415,1150
7.651919,45.022606,21801
7.651286,45.024258,817
7.652032,45.024349,171
